"id","sequence","name","slide_type","channel_id/id","is_category"
"slide_slide_odoo_interface_navigation","100","Navigation","document","slide_channel_odoo_interface","1"
"slide_slide_odoo_interface_views","200","Views","document","slide_channel_odoo_interface","1"
"slide_slide_odoo_interface_support","300","Support","document","slide_channel_odoo_interface","1"
"slide_slide_account_receivables","100","Account Receivables","document","slide_channel_accounting","1"
"slide_slide_account_payables","200","Account Payables","document","slide_channel_accounting","1"
"slide_slide_account_banking","300","Banking","document","slide_channel_accounting","1"
"slide_slide_account_reporting","400","Reporting","document","slide_channel_accounting","1"
"slide_slide_account_assets","500","Assets","document","slide_channel_accounting","1"
"slide_slide_account_budgets","600","Budgets","document","slide_channel_accounting","1"
"slide_slide_stock_master","100","Master Data","document","slide_channel_inventory","1"
"slide_slide_stock_receiving","200","Receiving","document","slide_channel_inventory","1"
"slide_slide_stock_picking","300","Picking","document","slide_channel_inventory","1"
"slide_slide_stock_packing","400","Packing","document","slide_channel_inventory","1"
"slide_slide_stock_shipping","500","Shipping","document","slide_channel_inventory","1"
"slide_slide_mrp_master","100","Master Data","document","slide_channel_manufacturing","1"
"slide_slide_mrp_operations","200","Operations","document","slide_channel_manufacturing","1"
"slide_slide_service_master","100","Master Data","document","slide_channel_service","1"
"slide_slide_service_project","200","Project","document","slide_channel_service","1"
"slide_slide_service_helpdesk","300","Helpdesk","document","slide_channel_service","1"
"slide_slide_service_field","400","Field Service","document","slide_channel_service","1"
"slide_slide_purchase_master","100","Master Data","document","slide_channel_purchase","1"
"slide_slide_purchase_purchase","200","Purchase","document","slide_channel_purchase","1"
"slide_slide_sale_master","100","Master Data","document","slide_channel_sales","1"
"slide_slide_sale_crm","200","CRM","document","slide_channel_sales","1"
"slide_slide_sale_sales","300","Sales","document","slide_channel_sales","1"
"slide_slide_website_menu","100","Menu & Pages","document","slide_channel_website","1"
"slide_slide_website_themes","200","Themes","document","slide_channel_website","1"
"slide_slide_website_blog","300","Blog & Posts","document","slide_channel_website","1"
"slide_slide_website_ecommerce","400","eCommerce","document","slide_channel_website","1"
"slide_slide_hr_master","100","Master Data","document","slide_channel_hr","1"
"slide_slide_hr_expense","200","Expenses","document","slide_channel_hr","1"
"slide_slide_hr_leaves","300","Leaves","document","slide_channel_hr","1"
"slide_slide_admin_security","100","Security","document","slide_channel_odoo_admin","1"
"slide_slide_admin_audit","200","Audit","document","slide_channel_odoo_admin","1"
"slide_slide_dev_module","100","Module","document","slide_channel_odoo_dev","1"
"slide_slide_dev_models","200","Models","document","slide_channel_odoo_dev","1"
"slide_slide_dev_views","300","Views","document","slide_channel_odoo_dev","1"
"slide_slide_dev_reports","400","Reports","document","slide_channel_odoo_dev","1"
